Timestamp,Speech ID,EOU Delay,TTFT,TTFB,Total Latency
2025-06-11 13:41:48,speech_e2a5e060755e,0.665,0.453,0.419,1.537
2025-06-11 13:42:00,speech_624b80429727,1.569,0.461,0.453,2.483
2025-06-11 13:44:35,speech_fa96a7b11a84,18.443,0.194,0.356,18.993
2025-06-11 13:44:45,speech_bf1e690df609,0.962,0.115,0.264,1.341
